idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
29,refs/heads/2.17,f67c9b0fa23af6e99cc299fb529a73ed92b7afda,17ebce40fda8a834d2094b9f642ca1f20d64a675,1eb210c68e94da61c61b8c97a3bca3dcb854798b,,,Git_checkout_failed,0.0,632b63b17a174338fdb251cc1c5ae671d7286f96f0072ebe79c9710b1e16dae7,Tests_passed,0.0,False,True,False,False
30,refs/heads/2.17,8cb40e92ba05315a11bf84b3dd2e78b5ed8cf50d,3f92d7b1531a92f205cdaa1124a9270d860e90c9,d147959a89da08d4ad7bc5a3cdf539b2100bdeb1,,b8b014877e954282176a077c9c23db5c8aba549b049352b302c2df13b8e82df9,Tests_failed,0.0,1fd4f646eafb4772e953c55c71d44972c539eb6bb806bcfc36b7406343db2594,Tests_failed,0.0,False,True,False,False
31,refs/heads/2.17,050822a75b7395e03af04cdfc507f2bb29d9bb9a,8f7c8b9244d08a67b6e5d48110cc4e40940d8acb,002a82f0fffeec455b6f30b1581e52550e724b76,,149f494f1df5730652ad446c64d863adbe408db609205e3cb72bd9f30d7fdbcc,Tests_failed,0.0,12f3d5017745737bda264b9c6598000c112ce93d7a8ac95d697d115bdebd10da,Tests_failed,0.0,False,True,False,False
32,refs/heads/2.17,b0a5f91f36fbf20a990112e79f5ac35bf5b91c5c,24c36c4fe50c374ed6cfcbcceebbd30fbc9c1d2c,7805a6864266708e3c59a983451aa499aeecc94e,,507b58b3aa2dcb3ccb1bafe7d50d1761d062766c147ed71d8b9879a6a0f774a0,Tests_failed,0.0,f652ecf6e029fc61c5b4dbbc31f3ebe6ef09731463c1ee861c4ce7acf34127d8,Tests_failed,0.0,False,True,False,False
33,refs/heads/2.17,0b6ea7ccf1207611544725b9cb324ca29b915480,c81cc0f721cec43f7e955fff2fc19d0a7f192efb,bbab957014c19b4042d992bf1994da459d4aa067,,3263cd8b46a7a93d162908bfdda433f248f3db5e995dd8ab5b5efd3a95def7b1,Tests_failed,0.0,8d888956355d06d22d5bd3789337bb6f60e54f3658b5b8b3ac0188c7d53fd59b,Tests_failed,0.0,False,True,False,False
34,refs/heads/2.17,bbab957014c19b4042d992bf1994da459d4aa067,e69b3cc3a7ce45151581898d57a9e1d87a6e86a5,ecfc4a1d05241f06ab89818c707a2edf2d06929a,,3eceb8d65854ab4470d6664374bc13a923e0d47ee5c5ab48694a67b6dd4f6ec3,Tests_failed,0.0,0289a6475f418e04b357e7e8eb91b1255475be92fdc0aaddc724cfbd152e304d,Tests_failed,0.0,False,True,False,False
36,refs/heads/2.17,cc00db81f1cecaf3884d907d310dcaffc39f083e,3b017b3f0096bb80eea26b8ab14ec73f9f192bae,a12d4279d51b4fc9b183be51269f95e070cedf72,,f9d0dd44cabe2eff3882d541f54f01af2fb63a904ba59a7c0cd273c1feefbe53,Tests_failed,0.0,4797af14b96b8752232a5a2e8f333b043b661372f1f25bb2503c0c1b7ee73abd,Tests_failed,0.0,False,True,False,False
37,refs/heads/2.17,ba00891f53db0e8cc944295d98b564db4778533c,ef388573b180a3635d3518dfea20eb16dc425b1d,730e7bb090e37bbffa8b95db0e0063d9815c81cc,,,,,,,,,False,False,False
38,refs/heads/2.17,ef388573b180a3635d3518dfea20eb16dc425b1d,58b39e6a0b50e5b31aff3585f43896beb0ed2534,3f2ba4911f739cd99f1df9250ac2ee1957e0c6a6,,4f880369e36761b334dd4f5e2fb6392c32310a18de378162c419443883d942df,Tests_failed,0.0,0612a2aca4d8dd27e99edaf16631b15aa3aaa98179e8233bc0826a1755fa39a3,Tests_failed,0.0,False,True,False,False
39,refs/heads/2.17,58b39e6a0b50e5b31aff3585f43896beb0ed2534,fe3d8b6b04c048c2c9dfd0f78fc8d81968695ca8,0e38f1b5f890631bfca92f2731d028cf1ff54ff5,,,,,,,,,False,False,False
40,refs/heads/2.17,e4ecc48a531003c7f1a2e73f67747b58c9cece4c,653b8f2db897ab0f28dc38bef36be103b39dc24b,fe39056458d53be575348aa34ddf24b7e20a5595,,,,,,,,,False,False,False
41,refs/heads/2.17,653b8f2db897ab0f28dc38bef36be103b39dc24b,b3aa0461176fd99508c0d0f436df8d4206930213,3f4e876e1fb89f1692f6157d0f739f4a9bb6aee1,,cc534b448b7fea06b1c3d3cf0c36d4d2a3383ecbb0e0698f630e97e8c84265a1,Tests_failed,0.0,018184135e91df705186d884a76fdc8239ba2ab89b66b9a66d5dca39f60d6d76,Tests_passed,0.0,False,True,False,False
42,refs/heads/2.17,bdf707e65b6e60651f145efc3a7e19bedd759dcc,36d044c943a4ee40bf1b6955f46ae322bf6b109f,e285ea17c44d920546f3db80ea43795c1899ae93,,d3ba99f98085238dc9b91bb337402eb4a46c0db557fbafc62767401d155f99ed,Tests_failed,0.0,2eea5194c7bfaef44c92ef3b1796b5da59d53f9ed78cd3ef262b07e0d424eeb0,Tests_failed,0.0,False,True,False,False
43,refs/heads/2.17,36d044c943a4ee40bf1b6955f46ae322bf6b109f,f9bedf3d86114e353440f17f3096e81c98f12d5f,ac64ff920fa138349d9c3eca133c0d0229fe8bf3,,b1b4417cad22a0e19c1d7d58d3ba00f06e2240eb500d8c6b13add76fcb2f6fed,Tests_failed,0.0,862b8e078d4e7c86b457c234fe9edd2f4319e186720e3805bf0272022c4d0e01,Tests_passed,0.0,False,True,False,False
44,refs/heads/2.17,f9bedf3d86114e353440f17f3096e81c98f12d5f,643dd47dd761183843c4a6169d56c06902a85d8a,7b6ecf9743c5d75fdcfdafec0e7ed54f46e6d42d,,b73b8167be3f719b59fc5ffdb7f64477460507c3d50269ca5fd754cb02e1e43f,Tests_failed,0.0,7d012a7a773461eb46ad586764bda57da30ab54cf578357b83dc854abc115e18,Tests_failed,0.0,False,True,False,False
45,refs/heads/2.17,643dd47dd761183843c4a6169d56c06902a85d8a,f03957e32e3dd29ec072c950b3131ae7fe086124,1ac2a20fd935f8b96187ae94c13dd724529cd8a1,,ce15d7a0a127466633df6e196ec3855e84f602afcd57c27d9f3715472844f0e1,Tests_failed,0.0,83c1bf9de1e1cb11a4f7e770f0e38e622df10a53b23fd6543753821616fe3ed9,Tests_failed,0.0,False,True,False,False
46,refs/heads/2.17,f03957e32e3dd29ec072c950b3131ae7fe086124,a8d7a6c965f9cec0e6770387e244a5e33bfb7eba,e525a31a6b64a76a3e186eb79cc9ce443beb5397,,,,,,,,,False,False,False
47,refs/heads/2.17,2b8077b2e37ec21ba00eb0b2b53d5c3280b66232,a41f2913db2f40774a7f0fc935c3fc48fdce3b5d,906fc4670e2f9877bc87e4e1ee25b99f86b7a581,,ed4e9010a519f5f6d91dcf07a0fb4ffb0553a1391e6eb662d8d00d452bb1c34d,Tests_failed,0.0,5f835994487544268f26f32f6dfa10dc2a536c368fa55359f1013b22ffc54d4e,Tests_failed,0.0,False,True,False,False
48,refs/heads/2.17,906fc4670e2f9877bc87e4e1ee25b99f86b7a581,6ccdf9f54e5b1e98a22c6f5e24a7dce5db376363,61815d5dc2a9e38086ce0c3f0c61f5774bf82a2f,,07159444294ef46744e5dbfda1905514616c8b9e5edad740dba8bf4bf4ee97fc,Tests_failed,0.0,fe84009817c0d50a00cf44a507b6a04c4a9f9b4e226dbcff25c57978e67a965d,Tests_passed,0.0,False,True,False,False
49,refs/heads/2.17,e8f0ec4639ef808c992f124cdbae646812b0e817,f0f48c152af00ce861ee80c7099183abc2a84215,6ccdf9f54e5b1e98a22c6f5e24a7dce5db376363,,51f970b8208f4330e8e5abf89f1fbf1cbb18dce3dc314c3ab173493e678a89c0,Tests_failed,0.0,07159444294ef46744e5dbfda1905514616c8b9e5edad740dba8bf4bf4ee97fc,Tests_failed,0.0,False,True,False,False
50,refs/heads/2.17,56d8c09cb0698dd9305b557a0f93e6a825143f9d,c44100f96fcc46239e9e9be32b1a9ad69003ef5c,b099bae91ab679eff8d7e2dd204ed258ffce759b,,7aa18489f081fa380a38bb599007dc042511b5397a2b46d21a360c1bd45687a4,Tests_failed,0.0,26c71ed8bec79885d58247216e2f759fca599441eb84e82e8447d8dddf471c72,Tests_failed,0.0,False,True,False,False
51,refs/heads/2.17,b099bae91ab679eff8d7e2dd204ed258ffce759b,dcd3fb69867d228f5ba10529afcafd9d9e36f17d,348291bfa031858ffe4e60d04760a586df802196,,58456359207be4822bb2fe7f75fd87f1196db825f36553a2357caf255231f1be,Tests_failed,0.0,5370546411ba7d2313dbd229408c272645cb5fe78d6b7b5d96aaa81d0bfa4075,Tests_failed,0.0,False,True,False,False
52,refs/heads/2.17,ebbbcfa866632362a3acb3416d3d9e42c7aecbcd,88f8e8f730ceb0375b36f10c7683ebb79df9b55b,dcd3fb69867d228f5ba10529afcafd9d9e36f17d,,,,,,,,,False,False,False
53,refs/heads/2.17,f000c719ef8cb61ce3d6489f521d1de1d1463dcd,071cf16fec26049febf5b6cde89542dd1cc5a870,4ef5a216354ed3ba565d83f1472b2783e4458840,,,,,,,,,False,False,False
54,refs/heads/2.17,7c80b1986a0f48e31fed3fe214f3b704935bad89,af3035cabae7d4c3fd398762262f33a7e66b7199,fcc9ed878f1580ecb22be36fa50de9e2e1705c50,,,,,,,,,False,False,False
55,refs/heads/2.17,1015bee5e2b17eb91b1b8aa242c046d519c110d4,f696bf39ee95a870a50a36ff6a61e5a818ebb3ed,c119c67d9f8cca3bb23f172a45c3380a22d04d63,,,Git_checkout_failed,0.0,83928bd8f7eb93bccdceecdd34f4966428a65bae607e96427039ef4d7c018bfc,Tests_failed,0.0,False,True,False,False
56,refs/heads/2.17,ec3135f5e9a08a06057c17211e4e02ddd733ea35,ae1c80fb896072fa7a3e798fe35617bbb0aa91ba,05468ed0732e89db4170d3b64feae0283865fc2f,,dffcf029eb5b00f1a0a12f50960803f97c3ed051a93df5439e1046d95ccf6aac,Tests_failed,0.0,a9dd47af79d9e029561383efd99d171555d1004b6363944173f62343c3c6dc16,Tests_failed,0.0,False,True,False,False
57,refs/heads/2.17,7412ef8070d36e60c35bd9592e18ba3d4a94ddad,fede19364dfc5ec0f1fee463f385b156edba39ec,456e6f92d87e0afd01ce44d9196dbd2835a8270b,,,,,,,,,False,False,False
58,refs/heads/2.17,456e6f92d87e0afd01ce44d9196dbd2835a8270b,3b23c8bd296dc8fe32c3d20a6b1e73221546bab9,190b117cc66d3e0c50d7016e5f272552dea356d2,,,,,,,,,False,False,False
59,refs/heads/2.17,ae1c80fb896072fa7a3e798fe35617bbb0aa91ba,28a4924eaa466bb7c6407e368a836736a8df5855,fede19364dfc5ec0f1fee463f385b156edba39ec,,178eb72983d31fc79779ed2fc0d7e4805f2c4c0349d10867def50cb130ee907d,Tests_failed,0.0,,Git_checkout_failed,0.0,False,True,False,False
60,refs/heads/2.17,8e8a94c2b4ebba22db3180ab8091cb6bead52d45,cb0bf919ec0641dd1416cbb48edfef3ed618f6d5,76cbb6786d6134f83a1ca4dd6b6417f02c489087,,6122fc69def540820823510cf4665536044a753dd0b357c8c70712954c7c274d,Tests_failed,0.0,cf933e71df2361a05b3a54b8556514acfd1bde6fbd94b4c630d4f25b3fdc37a4,Tests_failed,0.0,False,True,False,False
61,refs/heads/2.17,6c26cc1d73b397445a477584b3bc5d0a1dc8411f,e01d00d2488521a25077283f0535c8c218743af1,47dbb13e808ade713e95857c87decee5dc6b02fe,,3c2268a0ec71d8eb05aaa288d87a5491fec77c99e67ca9832d3d4da96eca54a5,Tests_failed,0.0,fd598d4df92bae675973f822359f6285ab2ba6a58c04e5ce7cd057e8de5e057f,Tests_failed,0.0,False,True,False,False
62,refs/heads/2.17,88205db36c70e9da6530238fd581348d3ba86b1a,0a342b8c5bb634a1d9032496f267f24a4a26a4c4,3e282931bca15a71329acb8cb4db68cf1ba23903,,bebe30632b57162838c19811988d3dd5f84fd5a9d760d483788914785fe180ab,Tests_failed,0.0,c960e99462332ec257271060644639272c72c753fc59597706742dc726866043,Tests_failed,0.0,False,True,False,False
63,refs/heads/2.17,e08e3f023f906a36304d10bdc888b549227c3b74,bf0dc562fabaeccfc66d9df40281bfe927f8f861,3b23c8bd296dc8fe32c3d20a6b1e73221546bab9,,bd2c3e6d6793fe26445e6c3ab48cb6e67d26b5ae8ce4abcb01e87eb6757ecc4a,Tests_failed,0.0,ccec520c9cfd3e0ec790c4d7e479f0d18e74c6482aa4d66f43326feebd2d9c73,Tests_passed,0.0,False,True,False,False
64,refs/heads/2.17,5f812ceb8511c31bb1e4a2d043297a1de85a08c7,decbcd30d7968814c34714c25f8eaafbaad9c3fd,74e4198b38a97291a1b15ced8ffd1f1fa80c66bd,,97c7d12563255f267b7a98509c407d482102ea66ced9324b4686c5eaa6b021de,Tests_failed,0.0,a77599644c27772e6262cabc4a665b15ec09e3ba602f493371af7df52247b3b3,Tests_passed,0.0,False,True,False,False
65,refs/heads/2.17,5a37600a5143987ff345885682c81e7f48872f45,5b7e783ce548a198351ca73621e60c6a331c81d9,cdfaf30cdfe019b29b34bd1574a5dc2a37a548eb,,4344dd823115daff5edba19e27eaf8636937da59869a5fc5c48daba222dca3ce,Tests_failed,0.0,1ba0354e9f43ee66aa2e5d48e9fdfbb17fd9d9109216113a2ba76c1c62f3acc5,Tests_passed,0.0,False,True,False,False
66,refs/heads/2.17,a8610608a8a90744417103c60963f2dd5c748d5a,8c2fb3e39888efd16bae039351d489804ad7d07b,16321711da4fc8bb0116451f135b3ef176ffa67b,,,,,,,,,False,False,False
68,refs/heads/2.17,10bc99e2d3e16d5d582cba34fe3d7d018b70b5e1,38209d262f8ceadd0ac16d67d2882db71fc3b3fb,93e38d159a31f3ff7cc23418cbdb028494caed46,,,,,,,,,False,False,False
69,refs/heads/2.17,38209d262f8ceadd0ac16d67d2882db71fc3b3fb,c4f5daabd3cf419db09ce89db525a39852e3279f,f0437271b3733892acfe3f90438d9421ca254e15,,e07ddd0965708e47d94f4cd9c0475fb6e32df08e2764218ee9814d7f2fe914c7,Tests_failed,0.0,ddee75100ecaa45a0b7f44bc4418153e6efe521fb20053cb953b6585fb8120c5,Tests_passed,0.0,False,True,False,False
70,refs/heads/2.17,1c79f662b8be07fb5df8c6928ff539a3b160c5d3,3a8849b6ef52ef5bb5adfa64c9880bea22ffe91a,47b46e489fe5f593092ff48f011a8dfd1cdab8c2,,d1c8e8b8a51467f3424ac9d9674bf00a8a1739f5ab7b048fecc1782fccb9f4c0,Tests_passed,0.0,9618f1301893547639636b3651c29dd51d3d4917cfdeee3002cdd3072fe6bc00,Tests_passed,0.0,True,True,True,True
71,refs/heads/2.17,72656c82007bb84f6fb012fb3666e632cdad90b2,bfc98170f7224fc4b83c58b17f52f895630ab3d2,8dac1895341a86f959bd68d6fe8fb2548f7a94d1,,dc34e5d955790344dc93f85bd51732c8dd8cb57e1d662d5b3f6478b2c233d978,Tests_failed,0.0,c8622fb7ba7a9036d3a563073b4df07bde1dd1e5174fb6877d21876299cf9c5d,Tests_passed,0.0,False,True,False,False
72,refs/heads/2.17,eafb650cfde4be984a71c4dc61318f5d8706a445,29b74cbcb31775a9bf31f4d4d97b9ebeb886c6a7,103dbf9c6a8b45032389294edc4241c462118e72,,,,,,,,,False,False,False
73,refs/heads/2.17,9206703eb933fc295c4bfd149db6d8588e9e1587,4708ac5e207643a9503dbfbccac2e9fd1d08641c,6c4f04e08a1eb0b40dd68f64a3d859a71b1f7daa,,,,,,,,,False,False,False
74,refs/heads/2.17,381d39c195cb6c3ee03c0a5092633afa29d30281,fcd91ceaba6b0b0b9e75a1e19620853f9ba98d04,7fc9879c2c949c5fef5e24151416b8cb50ebaf4c,,,,,,,,,False,False,False
76,refs/heads/2.17,f8b970afb721975dd78711180134368bc4d47ca4,5267732917d98301b13335582641f23ec3153119,50dbe2506177ac8d964572eba280279cf3969dbe,,4c21dedab324bc1b94d09cfc0bad2acf8e050aa118d2f8fc20bac749c0ab678e,Tests_passed,0.0,b2867a155fa2b3b661ba79de9692f75480b5eb7901facdeddccc09886b623c8e,Tests_passed,0.0,True,True,True,True
77,refs/heads/2.17,66cb3e06b709cd639d7129e9cc0d79faeb2fba84,04ada8d0b62a5005186b03fac542d28e6648fa62,4296ff046f527ccc96393abcbbac76d45bc39f78,,e69017b7e64aa0da48edc39ab23786c3cb96a38d40bcc0c8f1efde52ad2c5126,Tests_failed,0.0,5e7f4ddcc0bd12fccdea8340c1ccf3cfa54f58086fb2d2dd1f76e00188da0fbe,Tests_failed,0.0,False,True,False,False
78,refs/heads/2.17,68f3d4533370868360b1ad7d5bf632cf897c95aa,c435581f9179f8a5e9f14e1d3948b71cc1f65b06,f5b62d58524b98a55e9513b675634cc113dde175,,c96538d268b54145e04d96c8593e73dc60b6da050884da789713b0c75b489ca9,Tests_passed,0.0,bd4f22977b52f68cf5e31017cc2c4ec195625530ac96137c3529188ad0a7afe1,Tests_passed,0.0,True,True,True,True
79,refs/heads/2.17,11a728262c7986bafa7f347e10c39481adb88647,d480975881963b14d9fd5384245230dfff3a1698,cb5c448ef9205dbf36893a4a1796fdfdefef09da,,bcaf582a280ca6adb9c65f22b0a36ce0fbfb34d98683ca0de8d19b954fe75ec5,Tests_passed,0.0,55dd9de41d071234d78c407ed6f12e90a976b2a5146b6980369857a0665f5911,Tests_passed,0.0,True,True,True,True
80,refs/heads/2.17,114bfad36d9ce3fea65787d5128d3811f63bf36e,c7879e297a338f71fa355f6394c82ad17702bd4c,0dfd8fc99350250a474aa209a44a40751e537e56,,,,,,,,,False,False,False
82,refs/heads/2.17,e417fe421ad8f3ad97bb85948fa6da91475c914c,eac74b427246b95f0d5c8fa9a219d8d0aa6d090a,0fb374d4bf5e393be233c840e4d711270bd7483b,,eb6c102cc6cdaa68535ba127f56edef8b4e23958db49488c6481d55541a39bc4,Tests_passed,0.0,ce3967894495697e7e1c3f877bbb8011c2572dac7eb4dbebc395ec9f1f6803ed,Tests_passed,0.0,True,True,True,True
83,refs/heads/2.17,08e541b6cee6c40f6b473eb192c55ed707afe0df,a2c6c386b50980f31b439167f785346d967125d6,310f5b1e06bf29f17456660b40e3ca3c0fb77ceb,,,,,,,,,False,False,False
84,refs/heads/2.17,f79d71e1c426ae38434ede451fa50fe0d34126d3,be154650ce8f62f6e6cf7e8983ea7efe506311eb,3d4a0cf97e5058e8c8381a3451af6d9a1405ee0d,,de823af57c73a1f3df53786b8dee500ca215c33ba08013aff760ed0f94cf7bde,Tests_failed,0.0,56e84b36a881038053809df1fe935fbd252121eea1e3b4e0c478c0f6f4757f96,Tests_passed,0.0,False,True,False,False
85,refs/heads/2.17,e6f1d5e542582ea73a9625cf937392933bbba781,de831bdd0da4a8a65c89fcfff23025c1a52838e7,d4c889e2e1cc28da25d36a5a4f75be05c8175b9b,,,,,,,,,False,False,False
86,refs/heads/2.17,1eaafa5ed1da5a8a65a233950b04c363a74eaefe,bc26602c384c5c70cf3a7a0c4ac57716e3bd45d8,255c903e207cc22cfbaa84bd245d2806dc8687ee,,,,,,,,,False,False,False
87,refs/heads/2.17,49f1bca2d9bd213a8e2b1758844bf8fc49285dbc,f4e905007da4405d55916c0ed39ff106631aca79,80dd501368872d00524a8c9b19a8babbee5ade34,,31d2a076e7523ddd147495d959b9956fd47e67643a373ebe8cf8342278e096e8,Tests_passed,0.0,a46f105c48d1eed205f27edb5203511ad789daf14747ba618a73bab310547195,Tests_failed,0.0,False,True,False,False
88,refs/heads/2.17,fa249e06c52cbf819b397ae818c0db7f7d9b2550,47db7ce32827c76ee94e990405ad9addfe08a0e7,9cf18e8b422253bd5ce98328f6fdd98952a095f1,,ca38ac37bd89084b522d22b5d4ed5273ee06fb1bb6ac2eea9477b5707c5eacc4,Tests_passed,0.0,8e2fed551cbacd7ea503661cb877b3f9e75533ec023574327a1d3b754a155a47,Tests_passed,0.0,True,True,True,True
89,refs/heads/2.17,f11261e796779e07778173e50716f021d5fc3552,9ce286b4431f2b6de960151bee3fbb04f3b88373,1e6ecce804e662a9a93494f672d890413ae9f9d1,,714fffb81f65a0c1b7dc3334224596b86210ebee1cea1aaf7454087afee2c33e,Tests_failed,0.0,3292c7a55a834db31d9f2309de888094ce9115e5aa7d909480ab7f75771861d6,Tests_passed,0.0,False,True,False,False
