idx,branch_name,merge_commit,parent_1,parent_2,notes
13,refs/heads/master,9b2cea660b7e99a6b1dbe8336762ea0db3a335e7,6cf60ef952ce8173b0e34e31fa7d515a5a63de05,c3f2ce50e88a01f0c61f18f1a1329626e6e56a4c,a parent is the base
14,refs/heads/master,b1a2950a1dd5181a5dc76cace509f39736d1b381,52d228a765334aec73f4beb46ec736e20572cd4a,e469ab9800202e5c731ed4b6c87af5f102747980,
15,refs/heads/master,0a37be822fc1bcd23f7b98ed5f1b1e0ff4590245,8e0b933c14873479219dd6f0473c6d4262a297a8,7e08f8a8192caf939a28c1bca7aa3576013e89bb,
16,refs/heads/master,ce5ee339e22f11bd7d80fe289f2e2cd8dbf9ff1d,adbf5ce6e475c6e795d3d6910065d34651ddc030,a5942af3f46138dbff343f4fd3590c300b2e70e8,
17,refs/heads/master,d1eec0752a526d5d88eac882c86a70c408c08e86,bf50029c21b1db60cd470fb994b0025a22fba576,558dcbf2705c26966e733b91fff6e770dba5fea2,
18,refs/heads/master,e0ab010ce1b0664f60418455562892ddeb56ca94,b74cf1369ced408c54ca364196b528bca5939469,5188cf08e7c7ab746709cf3c4c6b674a79e0c9e0,
19,refs/heads/master,58cf6383e48125a734c1c91eb10363721fb5e3e0,3ecde4279269323c7de9f2955807fb9622cc0a70,8fa94746394b645d9ad90c5d7475e3a11de61b34,
20,refs/heads/master,e03792b8bb8c6415841824165c9a7033360937a5,b1a56381612229e487952b2dc6dbd583266c9d0b,7193228d02cbd99e4857a2f14c423ef3f1de4267,
21,refs/heads/master,b363b4f808e73423dadd9bfa2bab8fb0faf2f9bf,dc7d7273c9dbecd914a3849f4b6f1c2f6e1ed4d1,5a47c73541349af8ca3b113de82e5ff3d2666451,
22,refs/heads/master,b83949ff83f638efc410dd2d5695d12b4293c768,7e34c45a6713ee0748647e6e7f7858a7bf1fbe06,f13ab6a5a5c60f70e0493f9384a10d487fa19378,
23,refs/heads/master,92bf22681e37a2611f38bcff6d0e34d7b8271a4b,22f27d64dc6389812a4f1b576f584ec329cf7f89,3d39fa6b13ca7757c2e4108703d2bd67cccd9739,
24,refs/heads/master,1e6ac833ed69e67f85af5a059f7350d03c00eb32,eebbbf009c9b0b565b06fc449ff791375efb796e,a9596dd4caccf1e27c89848d545e434594ef1460,
25,refs/heads/master,750d13d75f1899149e3b447409c923785f2dc1fd,a68f400dc9ed24613fd5d81d816f21df15826942,851176e58d315cd74175ac4c5d7d7d50b5ffd58e,a parent is the base
26,refs/heads/master,9e0f36e445d14211dbf66f20f2ab49ff60b7c4ed,e274d12e292d005d6dfc4e5f68ba3360f0100aae,5cdfac3733daa7992bce5d078d5b03533f59d94a,
27,refs/heads/master,ce245adc00ad825df31badc50d4a191872b475ed,18243ca84f67dca0abdf7a5f309b93f94d20b03d,92222b0203303990bd2af30a7040752e497361ac,
28,refs/heads/master,036d8fdbc3200d9af633bbeecce43536fa809974,8b5c326298752aedd0cddccba69de9dd39fabfba,46daf6ec74816d4e15ff201fb6354bba60861eda,
29,refs/heads/master,3521f57153eb9b85a15825dadbef0d27d9e9d7eb,50f4aa4e600ffb700804b2a9c5ed7a8d9c0b67d5,ea5afd15fb0a4b0513f3d5e85db008bb53010510,a parent is the base
30,refs/heads/master,4802fd7870374ade955caf18a4bd95f7237df663,f3fd2b5d0ef603839f5f8a09e49d83e3d8d0fa23,2789bfc498a83dca982d0c110ea6f44075e71e93,a parent is the base
31,refs/heads/master,a8d96366c8c8f1fc3cd32342faed1af0552a2058,82ad365473084ea6add6b513b321f043650529f6,fcff9ee15faaedb0af9e03c76757463a1ee2ca71,a parent is the base
32,refs/heads/master,8eb180245d3fde570ab0a62b443e18dacebf3f7d,4d682d727a9d4faac493c59468a5b91567360126,3e7f56a96aed55853f56b4db1f16e3a954fcb952,
